compound	smiles	isoSmiles
http://www.wikidata.org/entity/Q901018	C1=CC=C(C=C1)N=NC2=C3C=CC=CC3=CC=C2O	C1=CC=C(C=C1)/N=N/C2=C3C=CC=CC3=CC=C2O
http://www.wikidata.org/entity/Q904153	C=CCN.C1C(O1)CCl	[2H]C1(C(O1)([2H])C([2H])([2H])Cl)[2H].C=CCN
http://www.wikidata.org/entity/Q906509	CCCCCCCCC=CCCCCCCCCN.F	CCCCCCCC/C=C/CCCCCCCCN.F
http://www.wikidata.org/entity/Q907160	CCNC(=O)C1CCCN1C(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6	CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC2=CC=C(C=C2)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC3=CNC4=CC=CC=C43)NC(=O)[C@H](CC5=CN=CN5)NC(=O)[C@@H]6CCC(=O)N6
http://www.wikidata.org/entity/Q909387	CC(C)(C)CCC#CC1CC1C2=CN=CN2	CC(C)(C)CCC#C[C@@H]1C[C@H]1C2=CN=CN2
http://www.wikidata.org/entity/Q934310	CC1=CC(=C(C(=C1)S(=O)(=O)[O-])NN=C2C=CC3=C(C2=O)C=CC=C3S(=O)(=O)[O-])C.[Na+].[Na+]	CC1=CC(=C(C(=C1)S(=O)(=O)[O-])N/N=C\2/C=CC3=C(C2=O)C=CC=C3S(=O)(=O)[O-])C.[Na+].[Na+]
http://www.wikidata.org/entity/Q982755	C(C(C(C(C(=O)COP(=O)(O)O)O)O)O)O	C([C@H]([C@H]([C@@H](C(=O)COP(=O)(O)O)O)O)O)O
http://www.wikidata.org/entity/Q987691	CCC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)O	CCC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)O
http://www.wikidata.org/entity/Q1003526	CN1CCC2=CC3=C(C4=C2C1CC5=C4C(=C(C=C5)OC)O)OCO3	CN1CCC2=CC3=C(C4=C2[C@@H]1CC5=C4C(=C(C=C5)OC)O)OCO3
http://www.wikidata.org/entity/Q1017979	CC(C(=NOC(=O)NC)C)SC	CC(/C(=N/OC(=O)NC)/C)SC
http://www.wikidata.org/entity/Q1064655	CN(C)C(CC1=CC=CC=C1)C2=CC=CC=C2	CN(C)[C@H](CC1=CC=CC=C1)C2=CC=CC=C2
http://www.wikidata.org/entity/Q1069066	CN1CC2=C(C=CC3=C2OCO3)C4C1C5=CC6=C(C=C5CC4O)OCO6	CN1CC2=C(C=CC3=C2OCO3)[C@@H]4[C@H]1C5=CC6=C(C=C5C[C@@H]4O)OCO6
http://www.wikidata.org/entity/Q1074056	CC12CC(C3(C(C1CC(C2(C(=O)CO)O)O)CCC4=CC(=O)C=CC43C)F)O	C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@H]([C@@]2(C(=O)CO)O)O)CCC4=CC(=O)C=C[C@@]43C)F)O
http://www.wikidata.org/entity/Q1091415	C(C(C(C(C(C(=O)CO)O)O)O)O)O	C([C@H]([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)O)O
http://www.wikidata.org/entity/Q1101322	CN(C)C=O	[2H]C(=O)N(C([2H])([2H])[2H])C([2H])([2H])[2H]
http://www.wikidata.org/entity/Q1110424	CC12CCC(CC1CCC3C2CCC4(C3(CCC4(C5=COC=C5)O)O)C)O	C[C@]12CC[C@@H](C[C@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@@]3(CC[C@@]4(C5=COC=C5)O)O)C)O
http://www.wikidata.org/entity/Q1117877	C1=CC=C(C=C1)N=NC2=C(C=CC3=CC(=CC(=C32)S(O)(=O)=O)S([O-])(=O)=O)[O-].[Na+].[Na+]	C1=CC=C(C=C1)/N=N/C2=C(C=CC3=CC(=CC(=C32)S(O)(=O)=O)S([O-])(=O)=O)[O-].[Na+].[Na+]
http://www.wikidata.org/entity/Q1141616	CC=CC(=O)Cl	C/C=C/C(=O)Cl
http://www.wikidata.org/entity/Q1143102	CCC=CCC1C(CCC1O)CC(=O)O	CC/C=C\C[C@H]1[C@H](CC[C@@H]1O)CC(=O)O
http://www.wikidata.org/entity/Q1147902	CCNC(=O)NC(=O)C(=NOC)C#N	CCNC(=O)NC(=O)/C(=N/OC)/C#N
http://www.wikidata.org/entity/Q1184530	CCCCC(C(=O)NC(CCCC)C(=O)NC(CCCC)C(=O)NC(CCCN=C(N)N)C(=O)NC(CCCC)C(=O)NC(CCCC)C(=O)NC(CCCC)C(=O)NCC(=O)NC(CC1=CC=C(C=C1)O)C(=O)N)NC(=O)C(CCCN=C(N)N)N	CCCC[C@H](C(=O)N[C@H](CCCC)C(=O)N[C@H](CCCC)C(=O)N[C@H](CCCN=C(N)N)C(=O)N[C@H](CCCC)C(=O)N[C@H](CCCC)C(=O)N[C@H](CCCC)C(=O)NCC(=O)N[C@H](CC1=CC=C(C=C1)O)C(=O)N)NC(=O)[C@@H](CCCN=C(N)N)N
http://www.wikidata.org/entity/Q1185089	C1CCC2(C3CC4=C(C2(C1)CCN3CC5CCC5)C=C(C=C4)O)O	C1CC[C@]2([C@H]3CC4=C([C@]2(C1)CCN3CC5CCC5)C=C(C=C4)O)O
http://www.wikidata.org/entity/Q1216264	COC1=NC(=NC2=C1N=CN2C3C(C(C(O3)CO)O)O)N	COC1=NC(=NC2=C1N=CN2[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)O)N
http://www.wikidata.org/entity/Q1226123	CC1=CC(=C(C=C1)C)OCC2=CC=CC=C2C(=NOC)C(=O)NC	CC1=CC(=C(C=C1)C)OCC2=CC=CC=C2/C(=N/OC)/C(=O)NC
http://www.wikidata.org/entity/Q1385311	CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2CCOC2)OP(=O)(O)O)S(=O)(=O)C3=CC=C(C=C3)N	CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CCOC2)OP(=O)(O)O)S(=O)(=O)C3=CC=C(C=C3)N
http://www.wikidata.org/entity/Q1485208	CC1C(OCC(N1)(C)C)(C2=CC(=CC=C2)Cl)O	C[C@H]1[C@@](OCC(N1)(C)C)(C2=CC(=CC=C2)Cl)O
http://www.wikidata.org/entity/Q1493560	C[N+](C)(CC=CC[N+](CCO)(CCO)CCO)CC=CC[N+](CCO)(CCO)CCO.[Cl-].[Cl-].[Cl-]	C[N+](C/C=C/C[N+](CCO)(CCO)CCO)(C/C=C/C[N+](CCO)(CCO)CCO)C.[Cl-].[Cl-].[Cl-]
http://www.wikidata.org/entity/Q1639595	CON=C1CN(CC1CN)C2=C(C=C3C(=O)C(=CN(C3=N2)C4CC4)C(=O)O)F	CO/N=C/1\CN(CC1CN)C2=C(C=C3C(=O)C(=CN(C3=N2)C4CC4)C(=O)O)F
http://www.wikidata.org/entity/Q1646591	CCOC(=O)C=CC(=O)OCC	CCOC(=O)/C=C\C(=O)OCC
http://www.wikidata.org/entity/Q1650548	CCNC1=NC(=NC(=N1)OC)NC(C)(C)C	CC/N=C/1\N=C(NC(=N1)OC)NC(C)(C)C
http://www.wikidata.org/entity/Q1660941	CC1=CCCC(=CCC2(CCC(O2)(C(CC1)O)C)C(C)C)C	C/C/1=C\CC/C(=C/C[C@@]2(CC[C@@](O2)([C@H](CC1)O)C)C(C)C)/C
http://www.wikidata.org/entity/Q1722024	CC1=CC2C(CCC3(C2CCC3(C(=O)C)O)C)C4C1=CC(=O)CC4	CC1=C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)O)C)[C@@H]4C1=CC(=O)CC4
http://www.wikidata.org/entity/Q1956285	CC1CCC2C13CC=C(C(C3)C2(C)C)C	C[C@@H]1CC[C@@H]2[C@]13CC=C(C(C3)C2(C)C)C
http://www.wikidata.org/entity/Q1985521	[Al]	[26Al]
http://www.wikidata.org/entity/Q2016116	CC1CCC2C1COC(=O)C2C	C[C@H]1CC[C@H]2[C@@H]1COC(=O)[C@H]2C
http://www.wikidata.org/entity/Q27105264	CC(=O)OC1CC2CCC1(C2(C)C)C	CC(=O)O[C@@H]1C[C@@H]2CC[C@]1(C2(C)C)C
http://www.wikidata.org/entity/Q290001	CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CC3CCCC3C2	
http://www.wikidata.org/entity/Q297592	CCCCCCC(=O)O	
http://www.wikidata.org/entity/Q302865	CC1=C(C=CC(=C1)O)Cl	
http://www.wikidata.org/entity/Q307455	CSCCC(C(=O)O)NC=O	
http://www.wikidata.org/entity/Q309528	CC1=CC(=C(C=C1)OC)N	
http://www.wikidata.org/entity/Q309747	COC1=CC=CC(=C1O)C=O	
http://www.wikidata.org/entity/Q312240	CC1=CC(=CC=C1)O	
http://www.wikidata.org/entity/Q338869	C=CCl	
http://www.wikidata.org/entity/Q341304	C1=CC(=C2C(=C1)N=NS2)C(=O)S	
http://www.wikidata.org/entity/Q341945	C1=CC=C(C=C1)OC2=C(C(=C(C=C2)[N+](=O)[O-])N)Cl	
http://www.wikidata.org/entity/Q342713	C1=CC=C2C(=C1)C=C3C=CC=CC3=N2	
http://www.wikidata.org/entity/Q342790	C=CC=O	
http://www.wikidata.org/entity/Q347392	C[N+]1=C2C(=C3C=CC4=C(C3=C1)OCO4)C=CC5=CC6=C(C=C52)OCO6	
http://www.wikidata.org/entity/Q348922	CS(=O)(=O)OCCCCOS(=O)(=O)C	
http://www.wikidata.org/entity/Q351461	C1C2CC3CC1CC(C2)C3	
http://www.wikidata.org/entity/Q366482	C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)NO	
http://www.wikidata.org/entity/Q369356	C1=CC(=CC=C1C2=C(C=C3C(=[O+]2)C=C(C(=C3O)O)O)O)O	
http://www.wikidata.org/entity/Q369648	CC1=CC=C(C=C1)C(=O)C(C)CN2CCCCC2	
http://www.wikidata.org/entity/Q382984	[N+](=O)([N+](=O)[O-])[O-]	
http://www.wikidata.org/entity/Q407189	[O-][Cl](=O)(=O)=O	
http://www.wikidata.org/entity/Q407204	[O-]Cl.[Na+]	
http://www.wikidata.org/entity/Q407258	[O-]S(=O)(=O)[O-].[Ca+2]	
http://www.wikidata.org/entity/Q407270	[Cl-].[Cl-].[Ba+2]	
http://www.wikidata.org/entity/Q407613	[Li+].[OH-]	
http://www.wikidata.org/entity/Q407515	Br[Ag]	
http://www.wikidata.org/entity/Q408880	[O-2].[K+].[K+]	
http://www.wikidata.org/entity/Q410026	[Se]=[Pb]	
http://www.wikidata.org/entity/Q409618	C(C(=O)CO)O	
http://www.wikidata.org/entity/Q409630	C(=O)([O-])[O-].[Cu+2]	
http://www.wikidata.org/entity/Q411126	[O-]I(=O)=O.[Na+]	
http://www.wikidata.org/entity/Q411853	[Al]#P	
http://www.wikidata.org/entity/Q412538	[Ca+2].[I-].[I-]	
http://www.wikidata.org/entity/Q412708	C(#N)[O-].[Na+]	
http://www.wikidata.org/entity/Q412845	C(C(=O)O)(Cl)Cl	
http://www.wikidata.org/entity/Q286126	CCC(C)C1C(=C(C(=O)N1)C(=O)C)O	CC[C@H](C)[C@H]1C(=C(C(=O)N1)C(=O)C)O
http://www.wikidata.org/entity/Q300850	CCC=CCCO	CC\C=C/CCO
http://www.wikidata.org/entity/Q300852	CC1=CCC2CC1C2(C)C	CC1=CC[C@H]2C[C@@H]1C2(C)C
http://www.wikidata.org/entity/Q311992	CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C
http://www.wikidata.org/entity/Q332211	CC1=CC(=O)CC(C1(C=CC(=CC(=O)O)C)O)(C)C	CC1=CC(=O)CC([C@]1(/C=C/C(=C\C(=O)O)/C)O)(C)C
http://www.wikidata.org/entity/Q335208	C(C1C(C(C(C(O1)O)O)O)O)O	C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O
http://www.wikidata.org/entity/Q27106313	C(C1C(C(C(C(O1)O)O)O)O)O	C([C@@H]1[C@@H]([C@H]([C@H](C(O1)O)O)O)O)O
http://www.wikidata.org/entity/Q347337	C1=CC(=CC=C1C(=O)NCCC(=O)O)N=NC2=CC=C(C(=C2)C(=O)O)O	C1=CC(=CC=C1C(=O)NCCC(=O)O)/N=N/C2=CC=C(C(=C2)C(=O)O)O
http://www.wikidata.org/entity/Q27109089	CC1=CC(=O)CC(C1(C=CC(=CC(=O)O)C)O)(C)C	CC1=CC(=O)CC([C@]1(/C=C/C(=C/C(=O)O)/C)O)(C)C
http://www.wikidata.org/entity/Q27117248	C(C1C(C(C(C(O1)O)O)O)O)O	C([C@H]1[C@@H]([C@@H]([C@@H]([C@@H](O1)O)O)O)O)O
http://www.wikidata.org/entity/Q27131879	CC1=CC(=O)CC(C1(C=CC(=CC(=O)O)C)O)(C)C	CC1=CC(=O)CC(C1(/C=C/C(=C/C(=O)O)/C)O)(C)C
http://www.wikidata.org/entity/Q408663	C(C(C(=O)O)N)[SeH]	C([C@@H](C(=O)O)N)[SeH]
http://www.wikidata.org/entity/Q411046	[Na+].[O-]C(=O)c1ccccc1S[Hg]CC	[Na+].CC[Hg]SC1=CC=CC=C1C([O-])=O
http://www.wikidata.org/entity/Q27103775	C(C1C(C(C(C(O1)O)O)O)O)O	C([C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)O)O)O)O)O
http://www.wikidata.org/entity/Q27103868	C(C1C(C(C(C(O1)O)O)O)O)O	C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)O)O)O)O)O
http://www.wikidata.org/entity/Q27104464	C(C1C(C(C(C(O1)O)O)O)O)O	C([C@@H]1[C@H]([C@H]([C@H]([C@@H](O1)O)O)O)O)O
http://www.wikidata.org/entity/Q27104503	C(C1C(C(C(C(O1)O)O)O)O)O	C([C@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)O)O)O)O)O
http://www.wikidata.org/entity/Q27104500	C(C1C(C(C(C(O1)O)O)O)O)O	C([C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O)O)O)O)O
http://www.wikidata.org/entity/Q27106307	C(C1C(C(C(C(O1)O)O)O)O)O	C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)O
http://www.wikidata.org/entity/Q181381	C(C1C(C(C(C(O1)O)O)O)O)O	C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O
http://www.wikidata.org/entity/Q27283803	CC1=CC=C(C=C1)C(=O)C(C)CN2CCCCC2	[2H]C1=C(C(=C(C(=C1C(=O)[C@H](C)CN2CCCCC2)[2H])[2H])C([2H])([2H])[2H])[2H]
http://www.wikidata.org/entity/Q27117212	C(C1C(C(C(C(O1)O)O)O)O)O	C([C@H]1[C@@H]([C@H]([C@@H]([C@@H](O1)O)O)O)O)O
http://www.wikidata.org/entity/Q27139932	C(C1C(C(C(C(O1)O)O)O)O)O	C([C@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O
http://www.wikidata.org/entity/Q27074154	CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	CC(=O)O[C@@H](CC(=O)[O-])C[N+](C)(C)C
http://www.wikidata.org/entity/Q27103248	C(C1C(C(C(C(O1)O)O)O)O)O	OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O
http://www.wikidata.org/entity/Q27109051	CC1=CC(=O)CC(C1(C=CC(=CC(=O)O)C)O)(C)C	CC1=CC(=O)CC([C@@]1(/C=C/C(=C/C(=O)O)/C)O)(C)C
http://www.wikidata.org/entity/Q27117226	C(C1C(C(C(C(O1)O)O)O)O)O	C([C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O)O)O)O)O
http://www.wikidata.org/entity/Q27117247	C(C1C(C(C(C(O1)O)O)O)O)O	C([C@H]1[C@@H]([C@@H]([C@@H](C(O1)O)O)O)O)O
http://www.wikidata.org/entity/Q27104380	CC1=CCC2CC1C2(C)C	
http://www.wikidata.org/entity/Q27140241	CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	
http://www.wikidata.org/entity/Q27165538	CC1=CC(=O)CC(C1(C=CC(=CC(=O)O)C)O)(C)C	
http://www.wikidata.org/entity/Q27158869	C(C1C(C(C(C(O1)O)O)O)O)O	C([C@H]1[C@H]([C@H]([C@H](C(O1)O)O)O)O)O
http://www.wikidata.org/entity/Q27258008	CC1=CC=C(C=C1)C(=O)C(C)CN2CCCCC2	[2H]C1=C(C(=C(C(=C1C(=O)C(C)CN2CCCCC2)[2H])[2H])C([2H])([2H])[2H])[2H]
http://www.wikidata.org/entity/Q27265711	CC1=CC=C(C=C1)C(=O)C(C)CN2CCCCC2	[2H]C1=C(C(=C(C(=C1C(=O)[C@@H](C)CN2CCCCC2)[2H])[2H])C([2H])([2H])[2H])[2H]
http://www.wikidata.org/entity/Q27117210	C(C1C(C(C(C(O1)O)O)O)O)O	C([C@H]1[C@H]([C@H]([C@@H](C(O1)O)O)O)O)O
http://www.wikidata.org/entity/Q27117224	C(C1C(C(C(C(O1)O)O)O)O)O	C([C@H]1[C@@H]([C@H]([C@H](C(O1)O)O)O)O)O
http://www.wikidata.org/entity/Q27117225	C(C1C(C(C(C(O1)O)O)O)O)O	C([C@H]1[C@@H]([C@H]([C@H]([C@H](O1)O)O)O)O)O
http://www.wikidata.org/entity/Q27117229	C(C1C(C(C(C(O1)O)O)O)O)O	C([C@@H]1[C@@H]([C@H]([C@H]([C@H](O1)O)O)O)O)O
http://www.wikidata.org/entity/Q27117233	C(C1C(C(C(C(O1)O)O)O)O)O	C([C@H]1[C@H]([C@@H]([C@@H]([C@H](O1)O)O)O)O)O
http://www.wikidata.org/entity/Q27295048	C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)NO	C1=CC=C(C=C1)C(C2=CC=CC=C2)[S@](=O)CC(=O)NO
http://www.wikidata.org/entity/Q27103973	CC1=CC(=O)CC(C1(C=CC(=CC(=O)O)C)O)(C)C	CC1=CC(=O)CC([C@@]1(/C=C/C(=C\C(=O)O)/C)O)(C)C
http://www.wikidata.org/entity/Q27109429	CC1=CC(=O)CC(C1(C=CC(=CC(=O)O)C)O)(C)C	CC1=CC(=O)CC(C1(/C=C/C(=C\C(=O)O)/C)O)(C)C
http://www.wikidata.org/entity/Q27126774	C(C1C(C(C(C(O1)O)O)O)O)O	C([C@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O
http://www.wikidata.org/entity/Q27136956	C(C1C(C(C(C(O1)O)O)O)O)O	C([C@@H]1[C@@H]([C@@H]([C@@H](C(O1)O)O)O)O)O
http://www.wikidata.org/entity/Q27104386	CC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O	CC=CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O
http://www.wikidata.org/entity/Q27117211	C(C1C(C(C(C(O1)O)O)O)O)O	C([C@H]1[C@H]([C@H]([C@@H]([C@H](O1)O)O)O)O)O
http://www.wikidata.org/entity/Q27117230	C(C1C(C(C(C(O1)O)O)O)O)O	C([C@@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O)O)O)O)O
http://www.wikidata.org/entity/Q27132623	C(C1C(C(C(C(O1)O)O)O)O)O	C([C@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O
http://www.wikidata.org/entity/Q27269936	CC1=CC=C(C=C1)C(=O)C(C)CN2CCCCC2	CC1=CC=C(C=C1)C(=O)[C@@H](C)CN2CCCCC2
http://www.wikidata.org/entity/Q27294325	CC1=CC=C(C=C1)C(=O)C(C)CN2CCCCC2	CC1=CC=C(C=C1)C(=O)[C@H](C)CN2CCCCC2
http://www.wikidata.org/entity/Q27156581	C(C1C(C(C(C(O1)O)O)O)O)O	C([C@@H]1[C@@H]([C@@H]([C@@H]([C@@H](O1)O)O)O)O)O
http://www.wikidata.org/entity/Q27259468	CCC=CCCO	CC/C=C/CCO
http://www.wikidata.org/entity/Q27106301	C(C1C(C(C(C(O1)O)O)O)O)O	C([C@@H]1[C@H]([C@H]([C@H](C(O1)O)O)O)O)O
http://www.wikidata.org/entity/Q27268386	C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)NO	C1=CC=C(C=C1)C(C2=CC=CC=C2)[S@@](=O)CC(=O)NO
http://www.wikidata.org/entity/Q27117228	C(C1C(C(C(C(O1)O)O)O)O)O	C([C@@H]1[C@H]([C@H]([C@H]([C@H](O1)O)O)O)O)O
http://www.wikidata.org/entity/Q27117232	C(C1C(C(C(C(O1)O)O)O)O)O	C([C@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O
http://www.wikidata.org/entity/Q27117246	C(C1C(C(C(C(O1)O)O)O)O)O	C([C@H]1[C@@H]([C@@H]([C@@H]([C@H](O1)O)O)O)O)O
http://www.wikidata.org/entity/Q27465362	C(C1C(C(C(C(O1)O)O)O)O)O	C([C@@H]1[C@H]([C@H]([C@@H]([C@H](O1)O)O)O)O)O
http://www.wikidata.org/entity/Q27458903	CC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O	CC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O
http://www.wikidata.org/entity/Q23905983	C(C1C(C(C(C(O1)O)O)O)O)O	C([C@H]1[C@@H]([C@H]([C@@H](C(O1)O)O)O)O)O
http://www.wikidata.org/entity/Q23905968	C(C1C(C(C(C(O1)O)O)O)O)O	OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
http://www.wikidata.org/entity/Q23905964	C(C1C(C(C(C(O1)O)O)O)O)O	C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O
http://www.wikidata.org/entity/Q23905965	C(C1C(C(C(C(O1)O)O)O)O)O	OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
http://www.wikidata.org/entity/Q37525	C(C1C(C(C(C(O1)O)O)O)O)O	C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O
http://www.wikidata.org/entity/Q2095629	CC1=CCC2CC1C2(C)C	CC1=CC[C@@H]2C[C@H]1C2(C)C
http://www.wikidata.org/entity/Q288051	CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CCC6C5(CCC(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)CO)O)OC9C(C(C(CO9)O)O)O)OC2C(C(C(C(O2)CO)O)O)O)O)O)C)C)C)NC1	C[C@H]1CC[C@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC[C@@H]6[C@@]5(CC[C@@H](C6)O[C@H]7[C@@H]([C@H]([C@H]([C@H](O7)CO)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O[C@H]9[C@@H]([C@H]([C@@H](CO9)O)O)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)C)C)C)NC1
http://www.wikidata.org/entity/Q2055416	CC(=CCCC1(C2CCC(C2)C1=C)C)CO	C/C(=C/CC[C@@]1([C@H]2CC[C@H](C2)C1=C)C)/CO
http://www.wikidata.org/entity/Q421291		[Fe+2].O[C@H]([C@@H](O)C([O-])=O)[C@H](O)[C@H](O)CO.[O-]C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
http://www.wikidata.org/entity/Q71530982	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C4N=CN=C5N)OP(=O)(O)O)O)O)O)C(=O)N	C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)OP(=O)(O)O)O)O)O)C(=O)N
http://www.wikidata.org/entity/Q135445	CCCCCCCCCCCCCC=CCCCCCCCC	CCCCCCCCCCCCC/C=C\CCCCCCCC
http://www.wikidata.org/entity/Q139307	CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C	C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C3\C[C@@H](O)CCC3=C
http://www.wikidata.org/entity/Q155746	CC(C=CC(C)C(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3)O)O)C	C[C@H](/C=C/[C@H](C)C(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C3C[C@H](C[C@@H](C3)O)O)C
http://www.wikidata.org/entity/Q155883	CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C	C[C@H](CCCC(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C
http://www.wikidata.org/entity/Q155954	CC(CN1C=NC2=C1N=CN=C2N)OCP(=O)(O)O	C[C@H](CN1C=NC2=C1N=CN=C2N)OCP(=O)(O)O
http://www.wikidata.org/entity/Q408400	CS(=O)(=O)C1=CC=C(C=C1)C(C(CF)NC(=O)C(Cl)Cl)O	CS(=O)(=O)C1=CC=C(C=C1)[C@H]([C@@H](CF)NC(=O)C(Cl)Cl)O
http://www.wikidata.org/entity/Q410556	CS(=O)(=O)NC(=O)CCCC=CCC1C(C(CC1=O)O)C=CC(COC2=CC=CC=C2)O	CS(=O)(=O)NC(=O)CCC/C=C\C[C@@H]1[C@H]([C@@H](CC1=O)O)/C=C/[C@H](COC2=CC=CC=C2)O
http://www.wikidata.org/entity/Q412291	CS(=O)(=O)C1=C2C(=CC(=C1)F)C3=C(N2CC4=CC=C(C=C4)Cl)C(CC3)CC(=O)O	CS(=O)(=O)c1cc(cc2c1n(c3c2CC[C@@H]3CC(=O)O)Cc4ccc(cc4)Cl)F
http://www.wikidata.org/entity/Q413056	NN=NN	N/N=N/N
http://www.wikidata.org/entity/Q413578	CC(C1C(O1)CC2COC(C(C2O)O)CC(=CC(=O)OCCCCCCCCC(=O)O)C)C(C)O	C[C@H]([C@H]1[C@@H](O1)C[C@H]2CO[C@H]([C@@H]([C@@H]2O)O)C/C(=C/C(=O)OCCCCCCCCC(=O)O)/C)[C@H](C)O
http://www.wikidata.org/entity/Q413816	CC1CCC(=C(C)C)C(=O)C1	C[C@@H]1CCC(=C(C)C)C(=O)C1
http://www.wikidata.org/entity/Q414089	C(C(C(C(C(=O)CO)O)O)O)O	C([C@H]([C@@H]([C@@H](C(=O)CO)O)O)O)O
http://www.wikidata.org/entity/Q414242	CC(C(=O)C1=CC=CC=C1)N	C[C@@H](C(=O)C1=CC=CC=C1)N
http://www.wikidata.org/entity/Q415347	C(C(C(CO)O)O)O	C([C@H]([C@@H](CO)O)O)O
